Группа 4;Тип оборудования
Кат4_2942;ДЗ
Кат4_1002;Б
Кат4_1224;Б
Кат4_1616;Б
Кат4_1636;Б
Кат4_1664;Б
Кат4_1794;Б
Кат4_2458;Б
Кат4_2605;Б
Кат4_4234;Б
Кат4_433;Б
Кат4_486;Б
Кат4_955;Б
Кат4_1014;Б
Кат4_1021;Б
Кат4_1068;Б
Кат4_1074;Б
Кат4_1093;Б
Кат4_1202;Б
Кат4_1265;Б
Кат4_1323;Б
Кат4_1331;Б
Кат4_1352;Б
Кат4_1404;Б
Кат4_1437;Б
Кат4_144;Б
Кат4_1461;Б
Кат4_1496;Б
Кат4_1617;Б
Кат4_1645;Б
Кат4_1650;Б
Кат4_1693;Б
Кат4_1726;Б
Кат4_1855;Б
Кат4_195;Б
Кат4_1957;Б
Кат4_1968;Б
Кат4_2024;Б
Кат4_2052;Б
Кат4_2058;Б
Кат4_208;Б
Кат4_230;Б
Кат4_2309;Б
Кат4_2318;Б
Кат4_240;Б
Кат4_2455;Б
Кат4_2603;Б
Кат4_2659;Б
Кат4_266;Б
Кат4_2667;Б
Кат4_2673;Б
Кат4_2729;Б
Кат4_2851;Б
Кат4_2852;Б
Кат4_2904;Б
Кат4_3023;Б
Кат4_3047;Б
Кат4_3112;Б
Кат4_3161;Б
Кат4_326;Б
Кат4_4293;Б
Кат4_43;Б
Кат4_444;Б
Кат4_467;Б
Кат4_529;Б
Кат4_548;Б
Кат4_561;Б
Кат4_605;Б
Кат4_635;Б
Кат4_694;Б
Кат4_697;Б
Кат4_7;Б
Кат4_77;Б
Кат4_774;Б
Кат4_839;Б
Кат4_853;Б
Кат4_886;Б
Кат4_934;Б
Кат4_954;Б
Кат4_975;Б
Кат4_2485;Д
Кат4_1;Д
Кат4_1057;Д
Кат4_1078;Д
Кат4_1127;Д
Кат4_1189;Д
Кат4_1196;Д
Кат4_123;Д
Кат4_1246;Д
Кат4_1255;Д
Кат4_1266;Д
Кат4_1292;Д
Кат4_13;Д
Кат4_1300;Д
Кат4_131;Д
Кат4_1365;Д
Кат4_1442;Д
Кат4_148;Д
Кат4_1481;Д
Кат4_152;Д
Кат4_1520;Д
Кат4_1584;Д
Кат4_1605;Д
Кат4_161;Д
Кат4_1707;Д
Кат4_1717;Д
Кат4_173;Д
Кат4_18;Д
Кат4_1822;Д
Кат4_193;Д
Кат4_1989;Д
Кат4_2003;Д
Кат4_2202;Д
Кат4_2250;Д
Кат4_2272;Д
Кат4_2320;Д
Кат4_236;Д
Кат4_238;Д
Кат4_2415;Д
Кат4_249;Д
Кат4_25;Д
Кат4_251;Д
Кат4_256;Д
Кат4_2595;Д
Кат4_2613;Д
Кат4_2693;Д
Кат4_2755;Д
Кат4_2934;Д
Кат4_2986;Д
Кат4_307;Д
Кат4_3117;Д
Кат4_325;Д
Кат4_3250;Д
Кат4_344;Д
Кат4_3448;Д
Кат4_349;Д
Кат4_3533;Д
Кат4_3548;Д
Кат4_355;Д
Кат4_364;Д
Кат4_3668;Д
Кат4_3729;Д
Кат4_3935;Д
Кат4_398;Д
Кат4_403;Д
Кат4_414;Д
Кат4_4187;Д
Кат4_44;Д
Кат4_447;Д
Кат4_4513;Д
Кат4_4556;Д
Кат4_466;Д
Кат4_47;Д
Кат4_489;Д
Кат4_491;Д
Кат4_496;Д
Кат4_506;Д
Кат4_55;Д
Кат4_555;Д
Кат4_584;Д
Кат4_593;Д
Кат4_606;Д
Кат4_619;Д
Кат4_63;Д
Кат4_680;Д
Кат4_70;Д
Кат4_722;Д
Кат4_784;Д
Кат4_798;Д
Кат4_804;Д
Кат4_88;Д
Кат4_917;Д
Кат4_935;Д
Кат4_948;Д
Кат4_98;Д
Кат4_1087;Д
Кат4_166;Д
Кат4_1980;Д
Кат4_2374;Д
Кат4_2428;Д
Кат4_2468;Д
Кат4_3569;Д
Кат4_3614;Д
Кат4_4310;Д
Кат4_1445;Д
Кат4_1573;Д
Кат4_1780;Д
Кат4_2137;Д
Кат4_2204;Д
Кат4_2385;Д
Кат4_3298;Д
Кат4_3330;Д
Кат4_3504;Д
Кат4_3881;Д
Кат4_100;Д
Кат4_126;Д
Кат4_1819;Д
Кат4_2243;Д
Кат4_2858;Д
Кат4_29;Д
Кат4_3013;Д
Кат4_331;Д
Кат4_537;Д
Кат4_657;Д
Кат4_882;Д
Кат4_99;Д
Кат4_1004;Д
Кат4_1095;Д
Кат4_1141;Д
Кат4_1286;Д
Кат4_1750;Д
Кат4_1834;Д
Кат4_1866;Д
Кат4_2015;Д
Кат4_2228;Д
Кат4_2495;Д
Кат4_2557;Д
Кат4_2567;Д
Кат4_2895;Д
Кат4_3034;Д
Кат4_3720;Д
Кат4_3779;Д
Кат4_972;Д
Кат4_1273;Д
Кат4_4276;Д
Кат4_4046;Д
Кат4_1301;Д
Кат4_432;Д
Кат4_514;Д
Кат4_2021;Д
Кат4_2461;Д
Кат4_2612;Д
Кат4_449;Д
Кат4_707;Д
Кат4_1245;Д
Кат4_1582;Д
Кат4_1872;Д
Кат4_2233;Д
Кат4_2307;Д
Кат4_2370;Д
Кат4_3974;Д
Кат4_638;Д
Кат4_926;Д
Кат4_1003;Д
Кат4_1897;Д
Кат4_2155;Д
Кат4_2323;Д
Кат4_281;Д
Кат4_287;Д
Кат4_863;Д
Кат4_999;Д
Кат4_589;Д
Кат4_664;Д
Кат4_785;Д
Кат4_1032;Д
Кат4_1045;Д
Кат4_1132;Д
Кат4_1136;Д
Кат4_1139;Д
Кат4_1188;Д
Кат4_120;Д
Кат4_1446;Д
Кат4_1586;Д
Кат4_1610;Д
Кат4_1945;Д
Кат4_2007;Д
Кат4_2253;Д
Кат4_2778;Д
Кат4_359;Д
Кат4_3593;Д
Кат4_413;Д
Кат4_501;Д
Кат4_547;Д
Кат4_588;Д
Кат4_599;Д
Кат4_61;Д
Кат4_744;Д
Кат4_80;Д
Кат4_834;Д
Кат4_854;Д
Кат4_1024;Д
Кат4_1040;Д
Кат4_1158;Д
Кат4_1343;Д
Кат4_1467;Д
Кат4_1495;Д
Кат4_1521;Д
Кат4_1533;Д
Кат4_1559;Д
Кат4_1703;Д
Кат4_1727;Д
Кат4_1760;Д
Кат4_1808;Д
Кат4_1811;Д
Кат4_1950;Д
Кат4_2067;Д
Кат4_2284;Д
Кат4_2600;Д
Кат4_2625;Д
Кат4_2866;Д
Кат4_3173;Д
Кат4_3209;Д
Кат4_3362;Д
Кат4_50;Д
Кат4_611;Д
Кат4_622;Д
Кат4_703;Д
Кат4_745;Д
Кат4_821;Д
Кат4_827;Д
Кат4_92;Д
Кат4_1263;Д
Кат4_130;Д
Кат4_282;Д
Кат4_796;Д
Кат4_1219;Д
Кат4_2990;Д
Кат4_3312;Д
Кат4_394;Д
Кат4_3085;Д
Кат4_1912;Д
Кат4_1508;Д
Кат4_1668;Д
Кат4_1783;Д
Кат4_2785;Д
Кат4_3064;Д
Кат4_361;Д
Кат4_3871;Д
Кат4_483;Д
Кат4_658;Д
Кат4_771;Д
Кат4_104;Д
Кат4_1682;Д
Кат4_1772;Д
Кат4_1881;Д
Кат4_1925;Д
Кат4_2019;Д
Кат4_2116;Д
Кат4_2314;Д
Кат4_2734;Д
Кат4_2893;Д
Кат4_3204;Д
Кат4_1908;Д
Кат4_2145;Д
Кат4_2459;Д
Кат4_258;Д
Кат4_3281;Д
Кат4_1029;Д
Кат4_1497;Д
Кат4_1522;Д
Кат4_1637;Д
Кат4_2487;Д
Кат4_2784;Д
Кат4_3095;Д
Кат4_3221;Д
Кат4_4038;Д
Кат4_590;Д
Кат4_591;Д
Кат4_620;Д
Кат4_764;Д
Кат4_1050;Д
Кат4_1391;Д
Кат4_1647;Д
Кат4_1715;Д
Кат4_199;Д
Кат4_2179;Д
Кат4_2254;Д
Кат4_242;Д
Кат4_2509;Д
Кат4_2530;Д
Кат4_2960;Д
Кат4_2972;Д
Кат4_2994;Д
Кат4_3073;Д
Кат4_3182;Д
Кат4_3491;Д
Кат4_632;Д
Кат4_923;Д
Кат4_1704;Д
Кат4_1741;Д
Кат4_2136;Д
Кат4_2205;Д
Кат4_2261;Д
Кат4_3280;Д
Кат4_4668;Д
Кат4_485;Д
Кат4_1046;Д
Кат4_1451;Д
Кат4_1615;Д
Кат4_1930;Д
Кат4_2973;Д
Кат4_3591;Д
Кат4_3818;Д
Кат4_1094;Д
Кат4_1250;Д
Кат4_1548;Д
Кат4_1583;Д
Кат4_1628;Д
Кат4_1962;Д
Кат4_2297;Д
Кат4_2432;Д
Кат4_2593;Д
Кат4_3535;Д
Кат4_637;Д
Кат4_639;Д
Кат4_767;Д
Кат4_1815;Д
Кат4_2036;Д
Кат4_2192;Д
Кат4_2444;Д
Кат4_3210;Д
Кат4_3525;Д
Кат4_3665;Д
Кат4_452;Д
Кат4_458;Д
Кат4_487;Д
Кат4_1293;Д
Кат4_1264;Д
Кат4_1310;Д
Кат4_1531;Д
Кат4_1535;Д
Кат4_1612;Д
Кат4_183;Д
Кат4_2234;Д
Кат4_2246;Д
Кат4_2334;Д
Кат4_2336;Д
Кат4_247;Д
Кат4_2490;Д
Кат4_2558;Д
Кат4_2622;Д
Кат4_2809;Д
Кат4_2881;Д
Кат4_2921;Д
Кат4_2946;Д
Кат4_306;Д
Кат4_3122;Д
Кат4_3263;Д
Кат4_3450;Д
Кат4_360;Д
Кат4_363;Д
Кат4_3732;Д
Кат4_390;Д
Кат4_4161;Д
Кат4_425;Д
Кат4_4455;Д
Кат4_631;Д
Кат4_74;Д
Кат4_750;Д
Кат4_768;Д
Кат4_799;Д
Кат4_855;Д
Кат4_858;Д
Кат4_1022;Д
Кат4_1117;Д
Кат4_1281;Д
Кат4_1769;Д
Кат4_1776;Д
Кат4_1898;Д
Кат4_2716;Д
Кат4_2912;Д
Кат4_298;Д
Кат4_3037;Д
Кат4_3545;Д
Кат4_4089;Д
Кат4_4207;Д
Кат4_634;Д
Кат4_106;Д
Кат4_1230;Д
Кат4_1619;Д
Кат4_1692;Д
Кат4_1706;Д
Кат4_2259;Д
Кат4_2363;Д
Кат4_2375;Д
Кат4_2534;Д
Кат4_2636;Д
Кат4_3339;Д
Кат4_3366;Д
Кат4_3461;Д
Кат4_3513;Д
Кат4_3693;Д
Кат4_3721;Д
Кат4_3938;Д
Кат4_4096;Д
Кат4_4170;Д
Кат4_4500;Д
Кат4_877;Д
Кат4_1258;Д
Кат4_1661;Д
Кат4_1758;Д
Кат4_3379;Д
Кат4_3573;Д
Кат4_395;Д
Кат4_1892;Д
Кат4_3030;Д
Кат4_656;Д
Кат4_2212;Д
Кат4_2287;Д
Кат4_3180;Д
Кат4_3256;Д
Кат4_3385;Д
Кат4_1038;Д
Кат4_1183;Д
Кат4_1261;Д
Кат4_136;Д
Кат4_1412;Д
Кат4_1543;Д
Кат4_1571;Д
Кат4_1738;Д
Кат4_1821;Д
Кат4_192;Д
Кат4_1960;Д
Кат4_2010;Д
Кат4_2033;Д
Кат4_2076;Д
Кат4_2090;Д
Кат4_2247;Д
Кат4_225;Д
Кат4_243;Д
Кат4_2623;Д
Кат4_2869;Д
Кат4_2993;Д
Кат4_3237;Д
Кат4_3437;Д
Кат4_351;Д
Кат4_3823;Д
Кат4_4117;Д
Кат4_4251;Д
Кат4_578;Д
Кат4_579;Д
Кат4_938;Д
Кат4_943;Д
Кат4_1113;Д
Кат4_1120;Д
Кат4_1218;Д
Кат4_1253;Д
Кат4_1348;Д
Кат4_1430;Д
Кат4_1436;Д
Кат4_1498;Д
Кат4_1591;Д
Кат4_1756;Д
Кат4_1952;Д
Кат4_1965;Д
Кат4_1978;Д
Кат4_2029;Д
Кат4_2149;Д
Кат4_2182;Д
Кат4_2214;Д
Кат4_2555;Д
Кат4_2616;Д
Кат4_2738;Д
Кат4_3157;Д
Кат4_3175;Д
Кат4_3205;Д
Кат4_3355;Д
Кат4_340;Д
Кат4_4036;Д
Кат4_575;Д
Кат4_640;Д
Кат4_751;Д
Кат4_759;Д
Кат4_786;Д
Кат4_1080;Д
Кат4_2030;Д
Кат4_2194;Д
Кат4_2658;Д
Кат4_2709;Д
Кат4_2875;Д
Кат4_3142;Д
Кат4_3822;Д
Кат4_515;Д
Кат4_552;Д
Кат4_598;Д
Кат4_933;Д
Кат4_1998;Д
Кат4_343;Д
Кат4_752;Д
Кат4_872;Д
Кат4_1606;Д
Кат4_1793;Д
Кат4_3370;Д
Кат4_3909;Д
Кат4_1503;Д
Кат4_2394;Д
Кат4_1936;Д
Кат4_2594;Д
Кат4_1060;Б
Кат4_3771;Б
Кат4_905;Б
Кат4_3458;Д
Кат4_500;Д
Кат4_546;Д
Кат4_3547;Д
Кат4_2031;Д
Кат4_1049;Д
Кат4_1694;Д
Кат4_2190;Д
Кат4_2764;Д
Кат4_3380;Д
Кат4_3883;Д
Кат4_474;Д
Кат4_929;Д
Кат4_2796;Д
Кат4_3109;Д
Кат4_1164;Д
Кат4_2060;Д
Кат4_2980;Д
Кат4_3311;Д
Кат4_4634;Д
Кат4_4635;Д
Кат4_3324;Д
Кат4_4392;Д
Кат4_1740;Д
Кат4_3024;Д
Кат4_1178;Д
Кат4_1290;Д
Кат4_1361;Д
Кат4_2077;Д
Кат4_2416;Д
Кат4_2560;Д
Кат4_2707;Д
Кат4_1332;Д
Кат4_1858;Д
Кат4_2401;Д
Кат4_2827;Д
Кат4_3637;Д
Кат4_367;А
Кат4_1088;Д
Кат4_1283;Pharma
Кат4_1420;Pharma
Кат4_1424;Pharma
Кат4_1480;Pharma
Кат4_157;Д
Кат4_1729;Pharma
Кат4_1765;Pharma
Кат4_1767;Pharma
Кат4_1955;Pharma
Кат4_2046;Д
Кат4_2099;Д
Кат4_2227;Pharma
Кат4_2365;Pharma
Кат4_2438;Pharma
Кат4_2517;Pharma
Кат4_2521;Pharma
Кат4_2704;Pharma
Кат4_3325;Pharma
Кат4_3722;Pharma
Кат4_384;Pharma
Кат4_423;Pharma
Кат4_448;Д
Кат4_558;Д
Кат4_595;Д
Кат4_609;Д
Кат4_662;Pharma
Кат4_743;Д
Кат4_782;Д
Кат4_810;Pharma
Кат4_824;Pharma
Кат4_902;Pharma
Кат4_907;Pharma
Кат4_995;Д
Кат4_1238;Pharma
Кат4_139;Pharma
Кат4_2248;Pharma
Кат4_2298;Pharma
Кат4_2876;Pharma
Кат4_3481;Pharma
Кат4_498;Pharma
Кат4_813;Pharma
Кат4_1185;Б
Кат4_2006;Б
Кат4_305;Д
Кат4_3091;Д
Кат4_2828;Д
Кат4_4235;Д
Кат4_587;Д
Кат4_3514;Д
Кат4_4271;Д
Кат4_2055;Д
Кат4_3405;Д
Кат4_3055;Д
Кат4_2274;Д
Кат4_1209;Д
Кат4_2000;Pharma
Кат4_3789;Б
Кат4_4639;Д
Кат4_536;Pharma
Кат4_1492;Д
Кат4_4373;Д
Кат4_4594;Д
Кат4_1469;Д
Кат4_3829;Б
Кат4_2642;Д
Кат4_1175;Д
Кат4_2665;Д
Кат4_1674;Д
Кат4_1832;Д
Кат4_3087;Д
Кат4_3913;Д
Кат4_2025;Д
Кат4_2523;Д
Кат4_3954;Д
Кат4_3147;Д
Кат4_1527;Д
Кат4_3915;Д
Кат4_1697;Д
Кат4_1354;Д
Кат4_1609;Д
Кат4_259;Д
Кат4_97;Д
Кат4_1020;Г
Кат4_1067;Г
Кат4_1089;Г
Кат4_1115;Г
Кат4_1195;Г
Кат4_1217;Г
Кат4_1247;Г
Кат4_1389;Г
Кат4_1397;Г
Кат4_1409;Г
Кат4_1414;Г
Кат4_1444;Г
Кат4_1468;Г
Кат4_1486;Г
Кат4_1519;Г
Кат4_1646;Г
Кат4_1672;Г
Кат4_1689;Г
Кат4_1818;Г
Кат4_1837;Г
Кат4_1906;Г
Кат4_201;Г
Кат4_2094;Г
Кат4_2113;Г
Кат4_2114;Г
Кат4_2118;Г
Кат4_214;Г
Кат4_2140;Г
Кат4_2251;Г
Кат4_2268;Г
Кат4_228;Г
Кат4_2293;Г
Кат4_2346;Г
Кат4_2373;Г
Кат4_2379;Г
Кат4_2387;Г
Кат4_2402;Г
Кат4_2408;Г
Кат4_2427;Г
Кат4_2477;Г
Кат4_2488;Г
Кат4_2640;Г
Кат4_2676;Г
Кат4_2687;Г
Кат4_2691;Г
Кат4_2697;Г
Кат4_2726;Г
Кат4_2749;Г
Кат4_2793;Г
Кат4_2803;Г
Кат4_2836;Г
Кат4_2863;Г
Кат4_3132;Г
Кат4_3227;Г
Кат4_3296;Г
Кат4_3374;Г
Кат4_3434;Г
Кат4_3501;Г
Кат4_3669;Г
Кат4_4265;Г
Кат4_516;Г
Кат4_630;Г
Кат4_633;Г
Кат4_667;Г
Кат4_691;Г
Кат4_702;Г
Кат4_732;Г
Кат4_794;Г
Кат4_833;Г
Кат4_843;Г
Кат4_864;Г
Кат4_884;Г
Кат4_928;Г
Кат4_95;Г
Кат4_956;Г
Кат4_957;Г
Кат4_983;Г
Кат4_989;Г
Кат4_1226;Д
Кат4_1371;Д
Кат4_2825;Д
Кат4_393;Д
Кат4_761;Д
Кат4_865;Д
Кат4_2319;Д
Кат4_3098;Д
Кат4_4098;Д
Кат4_616;Д
Кат4_1669;Д
Кат4_809;Д
Кат4_316;Д
Кат4_3878;Д
Кат4_2095;Д
Кат4_2947;Д
Кат4_3140;Д
Кат4_4474;Д
Кат4_4521;Д
Кат4_2789;Д
Кат4_4210;Д
Кат4_1935;Д
Кат4_3215;Д
Кат4_3477;Д
Кат4_2335;Д
Кат4_2897;Д
Кат4_3010;Д
Кат4_627;Д
Кат4_172;Д
Кат4_2404;Д
Кат4_675;Д
Кат4_4169;Д
Кат4_776;Д
Кат4_2924;Д
Кат4_1231;Д
Кат4_1347;Д
Кат4_1677;Д
Кат4_1993;Д
Кат4_2100;Д
Кат4_2757;Д
Кат4_435;Д
Кат4_600;Д
Кат4_797;Д
Кат4_203;Д
Кат4_4524;Д
Кат4_1566;Д
Кат4_3398;Д
Кат4_3118;Д
Кат4_3921;Д
Кат4_895;Д
Кат4_3092;Д
Кат4_1106;Буф А
Кат4_1319;Буф А
Кат4_1635;Буф А
Кат4_1941;Буф А
Кат4_2788;Буф А
Кат4_3855;Буф А
Кат4_733;Д
Кат4_1764;Д
Кат4_2256;Д
Кат4_2300;Д
Кат4_365;Д
Кат4_4009;Д
Кат4_6;Д
Кат4_3360;Г
Кат4_2216;ДЗ
Кат4_3644;Буф А
Кат4_1774;Буф А
Кат4_2483;В
Кат4_1545;Д
Кат4_2824;Д
Кат4_4644;Д
Кат4_4690;Д
Кат4_1789;Д
Кат4_2542;Д
Кат4_1001;Д
